Act_Name, Year, File_Name,
Madhya Pradesh Nagar Tatha Gram Nivesh (Sanshodhan) Adhiniyam, 2011,	
Madhya Pradesh (Shri) Mahakaleshwar Mandir Act, 1982,	
Madhya Pradesh Accommodation (Requisition) Act, 1948,	
Madhya Pradesh Adim Jan Jatiyon Ka Sanrakshan (Vrakshon Me Hit) Adhiniyam, 1999,	
Madhya Pradesh Ayurvigyan Parishad Adhiniyam, 1987,	
Madhya Pradesh Sarvajanik Upakramon Ke Karmachariyon Ka Lok Seva Me Samviliyan Pratishedh Adhiniyam, 2000,	
Madhya Pradesh Kashtha Chiran (Viniyaman) Adhiniyam, 1984,	
Madhya Pradesh Prakoshtha Swamitva Act, 2000,	
Court-fees (Madhya Pradesh Amendment) Act, 2017,	
Jawaharlal Nehru Krishi Vishwavidyalaya (Sanshodhan) Adhiniyam, 2012,	
Madhya Pradesh Vidyut Pradaya Upakram (Arjan) Adhiniyam, 1974,	
Madhya Pradesh Nagar Tatha Gram Nivesh Act, 1973,	
Madhya Pradesh Public Health Act, 1949,	
Madhya Pradesh Accommodation Control Act, 1961,	 2001_V_99.txt	 1986_P_19.txt	 1977_S_7.txt	 1972_S_111.txt	 1987_G_22.txt	 1994_S_133.txt	 1995_C_170.txt	 1984_R_23.txt	 1979_N_19.txt	 1990_R_62.txt	 1966_R_12.txt	 1981_H_14.txt	 1996_S_392.txt	 1983_C_2.txt	 2004_U_220.txt	 1994_N_38.txt	 2003_B_32.txt	 1993_K_77.txt	 1996_S_770.txt	 2003_R_36.txt	 2002_C_7.txt	 2002_R_33.txt	 2012_M_88.txt	 1998_S_154.txt	 1987_S_111.txt	 1985_J_13.txt	 2009_J_74.txt	 1976_S_62.txt	 2008_R_109.txt	 2009_M_299.txt	 2016_S_483.txt	 2004_N_48.txt	 2014_D_42.txt	 1974_D_4.txt	 1998_P_44.txt	 1984_S_156.txt	 1976_D_13.txt	 1999_M_120.txt	 1977_S_37.txt	 1990_R_38.txt	 1984_R_7.txt	 1988_D_35.txt	 1987_R_10.txt	 1969_K_17.txt	 1998_V_51.txt	 2008_U_108.txt	 1979_S_39.txt	 1988_P_23.txt	 1975_M_14.txt	 1990_S_111.txt	 2001_R_118.txt	 2008_G_101.txt	 1990_G_28.txt	 1986_D_54.txt	 1984_M_34.txt	 1970_N_24.txt	 1982_D_26.txt	 2009_S_1249.txt	 1977_S_33.txt	 1985_G_6.txt	 1984_J_9.txt	 1987_B_74.txt	 2003_K_113.txt	 1999_P_66.txt	 1997_B_24.txt	 2000_R_48.txt	 2002_J_51.txt	 1979_D_30.txt	 1995_M_201.txt	 2003_B_44.txt	 1988_K_24.txt	 2001_P_127.txt	
Madhya Pradesh Rajya Anusuchit Jati Ayog Adhiniyam, 1995,	
Madhya Pradesh Appropriation (No. 4) Act, 2015,	
Madhya Pradesh Temporary Postponement of Execution of Decrees Act, 1958,	
Madhya Pradesh Cinemas (Regulation) Act, 1952,	
Madhya Pradesh Rajkoshiya Uttardayitva Avam Budget Prabandhan (Sanshodhan) Adhiniyam, 2017,	
Madhya Pradesh Electricity Duty (Amendment) Act, 2011,	
Abolition of Jagirs and Land (Vindhya Pradesh) Reforms Act, 1952,	
Madhya Pradesh (Lok Abhikaranon Ke Madhyam Se) Dindayal Antyoday Karyakram Ka Karyanvayan Act, 1991,	
							Madhya Pradesh Rajmarg Act, 2004,	
Madhya Pradesh Appropriation Act, 1993,	
Saugar, Jabalpur Aur Indore Vishwavidyalaya (Nam Parivartan) Adhiniyam,	 1982	
Madhya Pradesh Madhyamik Shiksha Mandal (Pathya Vivaranon Tatha Pathya Pustakon Ka Vihit Kiya Jana) Act, 1974,	
Madhya Pradesh Profession Tax (Vritti Kar Adhiniyam) Act, 1995,	
Madhya Pradesh Tractor Dwara Tori Gai Bhoomiyo Par Asudhar Shulka Adhiniyam, 1972,	
Madhya Pradesh Anugrahik Tatha Sevarth Nagad Anudan Sampati (Sanshodhan) Adhiniyam, 1984,	
Madhya Pradesh Value Added Tax (Amendment) Act, 2008,	
Madhya Pradesh Commercial Tax (Vanijyik Kar (Sanshodhan) Adhiniyam) (Amendment) Act, 1997,	
Madhya Pradesh Vidhan Sabha Karyawahi (Prakashan Ka Paritran) Adhiniyam, 1973,	
Madhya Pradesh Adim Jan Jatiyon Ka Sanrakshan (Vrakshon Me Hit) Sanshodhan Adhiniyam, 2017,	
Madhya Pradesh Moneylenders Act, 1934,	
Madhya Pradesh Swayatta Sahakarita Adhiniyam, 1999,	
Madhya Pradesh Dramatic Performances Act, 1961,	
Madhya Bharat Regulation of Weighment of Agricultural Produce Act, 1956,	
Madhya Bharat Dissolution of Muslim Marriages Act, 1956,	
Madhya Pradesh Sale of Khaddar Act, 1953,	
Madhya Pradesh Van Upaj Ke Kararon Ka Punrikshan Adhiniyam, 1987,	
Madhya Pradesh Appropriation Acts (Repeal) Act, 2016,	
Madhya Pradesh Motor Parivahan Yano Par Pathkar Ka Udgrahan Act, 1985,	
Madhya Pradesh Nagariya Sthawar Sampatti Kar Act, 1964,	
Madhya Pradesh Refugees Registration and Movement Act, 1947,	
Madhya Bharat Taxes on Income (Validation) Act, 1954,	
Madhya Pradesh Nagarpalik Vidhi (Sanshodhan) Adhiniyam, 2013,	
Madhya Bharat Famine (Suspension of Proceedings) Act, 1953,	
United States of Gwalior, Indore and Malwa (Madhya Bharat) High Court of Judicature Decrees and Orders Validating Act,	 Samvat 2006	
Madhya Pradesh Rajkoshiya Uttardayitva Avam Budget Prabandhan (Sanshodhan) Adhiniyam, 2011,	
Madhya Pradesh State Aid to Industries Act, 1958,	
Bhopal Gas Leak Disaster (Processing of Claims) Amendment Act, 1992,	
Madhya Pradesh Vanaspati Rog Tatha Vinashi Kit Adhiniyam, 1972,	
